Columna1,Fecha Prod.,Hora Proceso,Muestra,Punto,Código,Producto,OP,CANT. BACHES A PRODUCIR,# BACHE,m1,m2,Porcentaje Durabilidad,Dureza,% Finos,Criba,Granulometría 10,Granulometría 12,Granulometría 14,Granulometría 16,Granulometría Pan,OPERADOR,Analista,OBSERVACIONES,Columna2,Unnamed: 25,Fecha
235.0,2025-01-29 00:00:00,1902-07-18 00:00:00,MOLIENDA,TOLVA,200541.0,LEVANTE,80.0,36.0,8.0,,,,,,"2,5-3",0.12,0.72,5.84,4.96,88.36,,LUZ ANGELA TOCORA ,,,,2025-01-29
236.0,2025-01-29 00:00:00,10:40:00,PELLET,ZARANDA 1,200541.0,LEVANTE,80.0,36.0,9.0,500.0,461.0,92.2,3.17,7.799999999999997,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-29
237.0,2025-01-29 00:00:00,11:05:00,PELLET,ZARANDA 1,200541.0,LEVANTE,80.0,36.0,11.0,500.0,449.0,89.8,2.32,10.200000000000003,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-29
,2025-01-29 00:00:00,13:00:00,PELLET,ZARANDA 1,200541.0,LEVANTE,80.0,36.0,19.0,500.0,433.0,86.6,2.75,13.400000000000006,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-29
238.0,2025-01-29 00:00:00,15:00:00,PELLET,ZARANDA 1,200541.0,LEVANTE,80.0,36.0,27.0,500.0,450.0,90.0,2.62,10.0,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-29
239.0,2025-01-29 00:00:00,15:30:00,MOLIENDA,TOLVA,200541.0,LEVANTE,30.0,36.0,35.0,,,,,,"2,5-3",0.12,0.64,6.08,5.84,87.32,,LUZ ANGELA TOCORA ,,,,2025-01-29
240.0,2025-01-29 00:00:00,17:20:00,PELLET,ZARANDA 1,200541.0,LEVANTE,80.0,36.0,35.0,500.0,444.0,88.8,1.65,11.200000000000003,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-29
241.0,2025-01-29 00:00:00,18:30:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,81.0,21.0,5.0,,,,,,"2,5-3",0.08,0.32,2.8,3.24,93.56000000000002,,LUZ ANGELA TOCORA ,,,,2025-01-29
242.0,2025-01-29 00:00:00,20:30:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,81.0,21.0,4.0,500.0,446.0,89.2,2.3,10.799999999999997,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-29
243.0,2025-01-29 00:00:00,21:00:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,81.0,21.0,12.0,,,,,,"2,5-3",0.12,0.44,3.64,3.56,92.24,,LUZ ANGELA TOCORA ,,,,2025-01-29
244.0,2025-01-29 00:00:00,22:02:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,81.0,21.0,10.0,500.0,461.0,92.2,2.41,7.799999999999997,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-29
245.0,2025-01-29 00:00:00,23:30:00,MOLIENDA,TOLVA,200541.0,LEVANTE,80.0,36.0,16.0,,,,,,"2,5-3",0.06,0.64,5.52,5.44,88.34,,LUZ ANGELA TOCORA ,,,,2025-01-29
246.0,2025-01-29 00:00:00,23:30:00,MOLIENDA,TOLVA,200541.0,LEVANTE,80.0,36.0,24.0,,,,,,"2,5-3",0.16,0.6,5.4,5.08,88.76,,LUZ ANGELA TOCORA ,,,,2025-01-29
247.0,2025-01-29 00:00:00,23:30:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,81.0,21.0,21.0,,,,,,"2,5-3",0.2,1.28,8.8,7.12,82.6,,LUZ ANGELA TOCORA ,,,,2025-01-29
248.0,2025-01-30 00:00:00,10:00:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,81.0,21.0,19.0,500.0,396.0,79.2,2.14,20.799999999999997,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-30
249.0,2025-01-30 00:00:00,14:00:00,MOLIENDA,TOLVA,200541.0,LEVANTE,82.0,21.0,8.0,,,,,,"2,5-3",0.2,0.84,6.64,5.96,86.36,,LUZ ANGELA TOCORA ,,,,2025-01-30
250.0,2025-01-30 00:00:00,14:00:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,82.0,21.0,4.0,500.0,464.0,92.8,2.17,7.200000000000003,,,,,,,,BRAYAN HERRERA,,,,2025-01-30
251.0,2025-01-30 00:00:00,16:20:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,82.0,21.0,14.0,500.0,450.0,90.0,2.12,10.0,,,,,,,,BRAYAN HERRERA,,,,2025-01-30
252.0,2025-01-30 00:00:00,16:30:00,MOLIENDA,TOLVA,200541.0,LEVANTE,82.0,21.0,16.0,,,,,,"2,5-3,0",0.28,0.8,6.32,5.68,86.91999999999999,,BRAYAN HERRERA,,,,2025-01-30
253.0,2025-01-30 00:00:00,19:15:00,PELLET,ZARANDA 1,200541.0,LEVANTE,82.0,21.0,19.0,500.0,451.0,90.2,2.31,9.799999999999997,,,,,,,,BRAYAN HERRERA,,,,2025-01-30
254.0,2025-01-30 00:00:00,19:30:00,MOLIENDA,TOLVA,200543.0,ENGORDE,83.0,21.0,4.0,,,,,,"2,5-3,0",0.08,0.4,4.08,4.12,91.32,,BRAYAN HERRERA,,,,2025-01-30
255.0,2025-01-30 00:00:00,21:40:00,PELLET,ZARANDA 1,200543.0,ENGORDE,83.0,21.0,4.0,500.0,445.0,89.0,2.83,11.0,,,,,,,,BRAYAN HERRERA,,,,2025-01-30
256.0,2025-01-30 00:00:00,22:00:00,MOLIENDA,TOLVA,200543.0,ENGORDE,83.0,21.0,12.0,,,,,,"2,5-3,0",0.2,0.44,3.8,4.4,91.16,,BRAYAN HERRERA,,,,2025-01-30
257.0,2025-01-30 00:00:00,23:30:00,PELLET,ZARANDA 1,200543.0,ENGORDE,83.0,21.0,10.0,500.0,449.0,89.8,2.7,10.200000000000003,,,,,,,,BRAYAN HERRERA,,,,2025-01-30
258.0,2025-01-30 00:00:00,07:52:00,PELLET,ZARANDA 1,200542.0,LEVANTE,84.0,11.0,5.0,500.0,453.0,90.6,2.68,9.400000000000006,,,,,,,,BRAYAN HERRERA,,,,2025-01-30
259.0,2025-01-31 00:00:00,10:15:00,PELLET,ZARANDA 1,200541.0,LEVANTE,85.0,34.0,5.0,500.0,446.0,89.2,2.7,10.799999999999997,,,,,,,,BRAYAN HERRERA,,,,2025-01-31
260.0,2025-01-31 00:00:00,11:25:00,PELLET,ZARANDA 1,200541.0,LEVANTE,85.0,34.0,11.0,500.0,455.0,91.0,2.63,9.0,,,,,,,,BRAYAN HERRERA,,,,2025-01-31
261.0,2025-01-31 00:00:00,16:00:00,MOLIENDA,TOLVA,200543.0,ENGORDE,83.0,21.0,18.0,,,,,,"2,5-3,0",0.16,0.76,6.92,6.28,85.88,,BRAYAN HERRERA,,,,2025-01-31
262.0,2025-01-31 00:00:00,17:00:00,PELLET,ZARANDA 1,200543.0,ENGORDE,83.0,21.0,17.0,500.0,454.0,90.8,2.67,9.200000000000003,,,,,,,,BRAYAN HERRERA,,,,2025-01-31
263.0,2025-01-31 00:00:00,18:30:00,MOLIENDA,TOLVA,200542.0,LEVANTE,84.0,11.0,4.0,,,,,,"2,5-3,0",0.16,0.56,4.72,5.0,89.56,,BRAYAN HERRERA,,,,2025-01-31
264.0,2025-01-31 00:00:00,22:00:00,MOLIENDA,TOLVA,200541.0,LEVANTE,85.0,34.0,10.0,,,,,,"2,5-3,0",0.08,0.36,3.88,4.4,91.28,,BRAYAN HERRERA,,,,2025-01-31
265.0,2025-01-31 00:00:00,20:00:00,MOLIENDA,TOLVA,200542.0,LEVANTE,84.0,11.0,10.0,,,,,,"2,5-3,0",0.2,0.72,3.4,4.72,90.96,,BRAYAN HERRERA,,,,2025-01-31
266.0,2025-01-31 00:00:00,21:00:00,MOLIENDA,TOLVA,200541.0,LEVANTE,85.0,34.0,5.0,,,,,,"2,5-3,0",0.12,0.68,7.32,7.16,84.72,,BRAYAN HERRERA,,,,2025-01-31
817.0,2024-10-27 00:00:00,18:20:00,PELLET,ZARANDA 1,200544.0,,,,,,,,,,,,,,,,,,,,,2024-10-27
818.0,2024-10-27 00:00:00,18:20:00,PELLET,ZARANDA 2,200544.0,,,,,,,,,,,,,,,,,,,,,2024-10-27
1.0,2024-11-15 00:00:00,2024-11-15 00:00:00,MOLIENDA,TOLVA,200541.0,LEVANTE,1.0,1.0,1.0,,,,,,2.0,0.08,0.16,2.56,4.36,92.84,SEBASTIAN BERNAL ,BRAYAN HERRERA,,,,2024-11-15
2.0,2024-11-15 00:00:00,13:15:00,PELLET,ZARANDA 1,200541.0,LEVANTE,1.0,1.0,1.0,500.0,433.0,86.6,3.1,13.400000000000006,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-15
3.0,2024-11-15 00:00:00,13:15:00,PELLET,ZARANDA 1,200541.0,LEVANTE,1.0,1.0,1.0,500.0,450.0,90.0,3.9,10.0,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-15
4.0,2024-11-20 00:00:00,02:00:00,PELLET,ZARANDA 1,200541.0,LEVANTE,1.0,1.0,1.0,500.0,464.5,92.9,4.5,7.099999999999994,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-20
5.0,2024-11-20 00:00:00,02:00:00,PELLET,ZARANDA 1,200541.0,LEVANTE,1.0,1.0,1.0,500.0,440.5,88.1,2.9,11.900000000000006,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-20
6.0,2024-11-20 00:00:00,02:00:00,PELLET,ZARANDA 1,200541.0,LEVANTE,1.0,1.0,1.0,500.0,453.5,90.7,5.4,9.299999999999997,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-20
7.0,2024-11-20 00:00:00,03:00:00,MOLIENDA,TOLVA,200541.0,LEVANTE,1.0,1.0,1.0,,,,,,2.0,0.16,0.36,8.84,4.8,85.84,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-20
8.0,2024-11-20 00:00:00,03:00:00,MOLIENDA,TOLVA,200541.0,LEVANTE,1.0,1.0,1.0,,,,,,2.0,0.2,0.4,3.6,5.36,90.44,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-20
9.0,2024-11-20 00:00:00,14:00:00,PELLET,ZARANDA 1,200541.0,LEVANTE,1.0,1.0,1.0,500.0,382.5,76.5,2.25,23.5,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-20
10.0,2024-11-20 00:00:00,14:00:00,PELLET,ZARANDA 1,200541.0,LEVANTE,1.0,1.0,1.0,500.0,410.5,82.1,2.74,17.900000000000006,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-20
11.0,2024-11-20 00:00:00,14:00:00,PELLET,ZARANDA 1,200541.0,LEVANTE,1.0,1.0,1.0,500.0,479.5,95.9,4.57,4.099999999999994,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-20
12.0,2024-11-20 00:00:00,09:45:00,MOLIENDA,TOLVA,200541.0,LEVANTE,1.0,1.0,1.0,,,,,,,0.16,0.32,4.4,5.96,89.16000000000001,SEBASTIAN BERNAL ,BRAYAN HERRERA,,,,2024-11-20
13.0,2024-11-20 00:00:00,14:30:00,MOLIENDA,TOLVA,200541.0,LEVANTE,1.0,1.0,1.0,500.0,387.0,77.4,3.1,22.599999999999994,,,,,,,SEBASTIAN BERNAL ,BRAYAN HERRERA,,,,2024-11-20
14.0,2024-11-21 00:00:00,00:00:00,MOLIENDA,TOLVA,2513.0,FINALIZADOR,1.0,4.0,4.0,,,,,,2.0,0.52,0.44,3.64,5.08,90.32000000000001,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-21
15.0,2024-11-21 00:00:00,23:00:00,MOLIENDA,TOLVA,2513.0,FINALIZADOR,1.0,4.0,2.0,,,,,,2.0,0.48,0.44,3.76,5.24,90.08,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-21
16.0,2024-11-21 00:00:00,22:00:00,PELLET,POS-ENGRASE,2513.0,FINALIZADOR,1.0,1.0,1.0,500.0,415.0,83.0,2.08,17.0,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-21
17.0,2024-11-21 00:00:00,21:30:00,PELLET,POS-ENGRASE,2506.0,LEVANTE,1.0,1.0,1.0,500.0,370.0,74.0,1.8,26.0,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-21
18.0,2024-11-21 00:00:00,22:30:00,PELLET,POS-ENGRASE,2506.0,LEVANTE,1.0,1.0,1.0,500.0,405.5,81.1,2.54,18.900000000000006,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-21
19.0,2024-11-23 00:00:00,14:00:00,PELLET,POS-ENGRASE,2513.0,FINALIZADOR,1.0,85.0,35.0,500.0,396.5,79.3,2.53,20.700000000000003,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-23
20.0,2024-11-23 00:00:00,16:10:00,PELLET,POS-ENGRASE,200544.0,FINALIZADOR,1.0,,,500.0,383.5,76.7,2.33,23.299999999999997,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-23
21.0,2024-11-23 00:00:00,19:00:00,MOLIENDA,TOLVA,2513.0,FINALIZADOR,1.0,50.0,10.0,,,,,,2.0,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-23
22.0,2024-11-23 00:00:00,21:00:00,PELLET,POS-ENGRASE,2513.0,FINALIZADOR,1.0,85.0,32.0,500.0,393.5,78.7,1.5,21.299999999999997,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-23
23.0,2024-11-23 00:00:00,20:00:00,PELLET,POS-ENGRASE,2513.0,FINALIZADOR,1.0,50.0,12.0,500.0,420.5,84.1,2.25,15.900000000000006,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-23
24.0,2024-11-23 00:00:00,21:00:00,MOLIENDA,TOLVA,2513.0,FINALIZADOR,1.0,50.0,20.0,,,,,,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-23
25.0,2024-11-24 00:00:00,22:00:00,PELLET,POS-ENGRASE,2513.0,FINALIZADOR,1.0,50.0,20.0,500.0,402.5,80.5,2.2,19.5,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-24
26.0,2024-11-24 00:00:00,07:04:00,MOLIENDA,TOLVA,2513.0,FINALIZADOR,1.0,50.0,10.0,,,,,,2.0,0.36,0.64,6.84,7.64,84.52,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-24
27.0,2024-11-24 00:00:00,07:10:00,MOLIENDA,TOLVA,2513.0,FINALIZADOR,1.0,50.0,20.0,,,,,,2.0,0.44,0.64,6.72,7.08,85.12,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-24
28.0,2024-11-23 00:00:00,20:50:00,PELLET,POS-ENGRASE,200544.0,FINALIZADOR,1.0,85.0,36.0,500.0,457.5,91.5,2.91,8.5,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-23
29.0,2024-11-23 00:00:00,22:00:00,PELLET,POS-ENGRASE,200544.0,FINALIZADOR,1.0,85.0,39.0,500.0,461.5,92.3,2.7,7.700000000000003,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-23
30.0,2024-11-24 00:00:00,00:20:00,PELLET,POS-ENGRASE,200544.0,FINALIZADOR,1.0,85.0,44.0,500.0,474.5,94.9,3.28,5.099999999999994,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-24
31.0,2024-11-25 00:00:00,14:15:00,PELLET,POS-ENGRASE,200544.0,FINALIZADOR,1.0,85.0,50.0,500.0,440.0,88.0,3.06,12.0,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-25
32.0,2024-11-25 00:00:00,15:20:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,1.0,85.0,59.0,,,,,,2.0,0.32,0.52,5.36,6.6,87.20000000000002,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-25
33.0,2024-11-25 00:00:00,15:30:00,PELLET,POS-ENGRASE,200544.0,FINALIZADOR,1.0,85.0,54.0,500.0,440.0,88.0,2.79,12.0,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-25
34.0,2024-11-25 00:00:00,16:00:00,PELLET,POS-ENGRASE,200544.0,FINALIZADOR,1.0,85.0,70.0,500.0,440.5,88.1,2.66,11.900000000000006,,,,,,,SEBASTIAN BERNAL ,VANESSA LOZADA ,,,,2024-11-25
35.0,2024-11-26 00:00:00,22:10:00,PELLET,POS-ENGRASE,200544.0,FINALIZADOR,1.0,85.0,82.0,500.0,433.0,86.6,2.49,13.400000000000006,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-26
36.0,2024-11-26 00:00:00,22:10:00,PELLET,POS-ENGRASE,200544.0,FINALIZADOR,1.0,85.0,67.0,500.0,442.5,88.5,3.9,11.5,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-26
36.0,2024-11-26 00:00:00,16:00:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,3.0,25.0,15.0,,,,,,2.0,0.04,0.16,2.04,2.96,94.8,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-26
37.0,2024-11-26 00:00:00,16:20:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,3.0,25.0,3.0,,,,,,2.0,0.04,0.12,1.24,2.44,96.16,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-26
38.0,2024-11-26 00:00:00,16:30:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,3.0,25.0,9.0,,,,,,2.0,0.0,0.04,0.92,4.64,94.39999999999999,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-26
39.0,2024-11-26 00:00:00,19:00:00,PELLET,POS-ENGRASE,200544.0,FINALIZADOR,3.0,25.0,3.0,500.0,442.5,88.5,2.2,11.5,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-26
40.0,2024-11-26 00:00:00,19:00:00,PELLET,POS-ENGRASE,200544.0,FINALIZADOR,3.0,25.0,19.0,500.0,450.0,90.0,3.29,10.0,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-26
41.0,2024-11-26 00:00:00,19:00:00,PELLET,POS-ENGRASE,200544.0,FINALIZADOR,3.0,25.0,9.0,500.0,466.5,93.3,3.96,6.700000000000003,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-26
42.0,2024-11-27 00:00:00,19:00:00,PELLET,POS-ENGRASE,200544.0,FINALIZADOR,4.0,15.0,4.0,500.0,438.0,87.6,3.01,12.400000000000006,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-27
43.0,2024-11-27 00:00:00,19:00:00,PELLET,POS-ENGRASE,200544.0,FINALIZADOR,3.0,25.0,23.0,500.0,362.0,72.4,3.36,27.599999999999994,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-27
44.0,2024-11-27 00:00:00,16:10:00,MOLIENDA,TOLVA,2513.0,FINALIZADOR,4.0,15.0,8.0,,,,,,2.0,0.28,0.36,4.16,5.36,89.84,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-27
45.0,27/11/02024,19:00:00,PELLET,POS-ENGRASE,200544.0,FINALIZADOR,4.0,15.0,11.0,500.0,380.5,76.1,2.61,23.900000000000006,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-27
46.0,2024-11-27 00:00:00,19:00:00,PELLET,POS-ENGRASE,200542.0,LEVANTE,5.0,50.0,4.0,500.0,446.5,89.3,3.23,10.700000000000003,,,,,,,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-27
47.0,2024-11-28 00:00:00,13:00:00,MOLIENDA,TOLVA,200542.0,LEVANTE,5.0,50.0,17.0,,,,,,2.5,0.12,0.16,2.12,3.24,94.36,SEBASTIAN BERNAL ,LUZ ANGELA TOCORA ,,,,2024-11-28
48.0,2024-11-29 00:00:00,00:20:00,PELLET,POS-ENGRASE,200542.0,LEVANTE,5.0,50.0,9.0,500.0,360.0,72.0,1.6,28.0,,,,,,,DANIEL ,LUZ ANGELA TOCORA ,,,,2024-11-29
49.0,2024-11-29 00:00:00,22:30:00,PELLET,POS-ENGRASE,200542.0,LEVANTE,5.0,50.0,15.0,500.0,363.5,72.7,2.1,27.299999999999997,,,,,,,DANIEL ,LUZ ANGELA TOCORA ,,,,2024-11-29
817.0,2024-10-27 00:00:00,18:20:00,PELLET,ZARANDA 1,200544.0,,,,,,,,,,,,,,,,,,,,,2024-10-27
818.0,2024-10-27 00:00:00,18:20:00,PELLET,ZARANDA 2,200544.0,,,,,,,,,,,,,,,,,,,,,2024-10-27
1.0,2024-02-01 00:00:00,07:35:00,PELLET,ZARANDA 1,200541.0,LEVANTE,86.0,17.0,5.0,500.0,459.0,91.8,2.77,8.200000000000003,,,,,,,,BRAYAN HERRERA,,,,2024-02-01
2.0,2024-02-01 00:00:00,10:00:00,MOLIENDA,TOLVA,200541.0,LEVANTE,85.0,34.0,15.0,,,,,,"2,5-3,0",0.12,0.64,6.92,6.96,85.36,,BRAYAN HERRERA,,,,2024-02-01
3.0,2024-02-01 00:00:00,12:00:00,PELLET,ZARANDA 1,200541.0,LEVANTE,85.0,34.0,15.0,500.0,469.0,93.8,2.12,6.200000000000003,,,,,,,,BRAYAN HERRERA,,,,2024-02-01
4.0,2024-02-01 00:00:00,12:00:00,MOLIENDA,TOLVA,200541.0,LEVANTE,85.0,34.0,24.0,,,,,,"2,5-3,0",0.08,0.32,3.8,4.24,91.56000000000002,,BRAYAN HERRERA,,,,2024-02-01
5.0,2024-02-01 00:00:00,14:00:00,PELLET,ZARANDA 1,200541.0,LEVANTE,85.0,34.0,23.0,500.0,466.0,93.2,2.6,6.799999999999997,,,,,,,,BRAYAN HERRERA,,,,2024-02-01
6.0,2024-02-01 00:00:00,16:00:00,PELLET,ZARANDA 1,200541.0,LEVANTE,85.0,34.0,30.0,500.0,465.0,93.0,2.66,7.0,,,,,,,,BRAYAN HERRERA,,,,2024-02-01
7.0,2024-02-01 00:00:00,20:00:00,MOLIENDA,TOLVA,200541.0,LEVANTE,86.0,17.0,12.0,,,,,,"2,5-3,0",0.24,0.96,3.76,4.6,90.44000000000001,,BRAYAN HERRERA,,,,2024-02-01
8.0,2024-02-01 00:00:00,22:00:00,MOLIENDA,TOLVA,200541.0,LEVANTE,86.0,17.0,17.0,,,,,,"2,5-3,0",0.4,0.2,2.12,2.28,94.99999999999999,,BRAYAN HERRERA,,,,2024-02-01
9.0,2024-02-01 00:00:00,23:05:00,PELLET,ZARANDA 1,200541.0,LEVANTE,86.0,17.0,12.0,500.0,474.0,94.8,2.89,5.200000000000003,,,,,,,,BRAYAN HERRERA,,,,2024-02-01
10.0,2024-02-01 00:00:00,N/E,MOLIENDA,TOLVA,200541.0,LEVANTE,86.0,17.0,5.0,,,,,,"2,5-3,0",0.12,0.64,6.2,6.24,86.8,,BRAYAN HERRERA,,,,2024-02-01
11.0,2025-02-02 00:00:00,12:30:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,87.0,26.0,6.0,,,,,,"2,5-3,0",0.16,0.4,3.44,3.84,92.16,,BRAYAN HERRERA,,,,2025-02-02
12.0,2025-02-02 00:00:00,02:00:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,87.0,26.0,5.0,500.0,468.0,93.6,2.98,6.400000000000006,,,,,,,,BRAYAN HERRERA,,,,2025-02-02
13.0,2025-02-02 00:00:00,02:30:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,87.0,26.0,14.0,,,,,,"2,5-3,0",0.12,0.64,6.0,6.2,87.03999999999999,,BRAYAN HERRERA,,,,2025-02-02
14.0,2025-02-02 00:00:00,03:30:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,87.0,26.0,19.0,,,,,,"2,5-3,0",0.12,0.36,3.0,3.52,93.0,,BRAYAN HERRERA,,,,2025-02-02
15.0,2025-02-02 00:00:00,04:00:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,87.0,26.0,13.0,500.0,466.0,93.2,2.86,6.799999999999997,,,,,,,,BRAYAN HERRERA,,,,2025-02-02
16.0,2025-02-03 00:00:00,18:00:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,87.0,20.0,1.0,,,,,,"2,5-3",0.4,0.36,4.83,6.12,88.28999999999999,,NATALIA RODRIGUEZ,,,,2025-02-03
17.0,2025-02-03 00:00:00,18:00:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,87.0,26.0,23.0,500.0,443.0,88.6,2.55,11.400000000000006,,,,,,,,NATALIA RODRIGUEZ,,,,2025-02-03
18.0,2025-02-03 00:00:00,20:30:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,88.0,20.0,8.0,,,,,,"2,5-3",0.08,0.44,4.68,5.28,89.52000000000001,,NATALIA RODRIGUEZ,,,,2025-02-03
19.0,2025-02-03 00:00:00,21:00:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,88.0,20.0,4.0,500.0,455.0,91.0,2.36,9.0,,,,,,,,NATALIA RODRIGUEZ,,,,2025-02-03
20.0,2025-02-03 00:00:00,22:00:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,88.0,20.0,15.0,,,,,,"2,5-3",0.24,0.32,4.2,5.2,90.04,,NATALIA RODRIGUEZ,,,,2025-02-03
21.0,2025-02-03 00:00:00,23:00:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,88.0,20.0,14.0,500.0,453.0,90.6,2.18,9.400000000000006,,,,,,,,NATALIA RODRIGUEZ,,,,2025-02-03
22.0,2025-02-03 00:00:00,00:00:00,MOLIENDA,TOLVA,200541.0,LEVANTE,89.0,25.0,1.0,,,,,,"2,5-3",0.04,0.36,2.8,4.12,92.67999999999999,,NATALIA RODRIGUEZ,,,,2025-02-03
23.0,2025-02-03 00:00:00,02:30:00,PELLET,ZARANDA 1,200541.0,LEVANTE,89.0,25.0,6.0,500.0,464.0,92.8,2.16,7.200000000000003,,,,,,,,NATALIA RODRIGUEZ,,,,2025-02-03
24.0,2025-02-03 00:00:00,02:00:00,MOLIENDA,TOLVA,200541.0,LEVANTE,89.0,25.0,13.0,,,,,,"2,5-3",0.08,0.36,3.76,4.6,91.2,,NATALIA RODRIGUEZ,,,,2025-02-03
25.0,2025-02-03 00:00:00,03:20:00,PELLET,ZARANDA 1,200541.0,LEVANTE,89.0,25.0,11.0,500.0,452.0,90.4,2.32,9.599999999999994,,,,,,,,NATALIA RODRIGUEZ,,,,2025-02-03
26.0,2025-02-03 00:00:00,04:50:00,PELLET,ZARANDA 1,200541.0,LEVANTE,89.0,25.0,15.0,500.0,448.0,89.6,2.3,10.400000000000006,,,,,,,,NATALIA RODRIGUEZ,,,,2025-02-03
