Tipo,FORMULACION,Código,Medio,Cantidad,Mínimo,Quantil25,Mediana,Quantil75,Máximo,Desviación Estandar,Varianza,Error Estandar
Porcentaje Durabilidad,ENGORDE ESP VR ,200543.0,89.19,29,78.0,87.7,89.8,91.1,94.4,3.06,9.34,0.56
Porcentaje Durabilidad,FINALIZADOR VR,200544.0,90.02,84,72.4,88.57,91.0,92.12,99.8,4.01,16.07,0.42
Porcentaje Durabilidad,LEVANTE ESP VR,200542.0,82.59,79,0.0,87.55,90.2,91.6,98.3,24.19,585.28,2.36
Porcentaje Durabilidad,LEVANTE VR,200541.0,88.26,148,0.0,88.75,91.0,92.7,95.9,13.25,175.45,1.09
Dureza,ENGORDE ESP VR ,200543.0,2.7,30,2.01,2.45,2.82,3.0,3.4,0.38,0.14,0.07
Dureza,FINALIZADOR VR,200544.0,2.92,86,2.1,2.57,2.98,3.29,3.96,0.48,0.23,0.05
Dureza,LEVANTE ESP VR,200542.0,2.88,75,1.6,2.6,3.0,3.2,3.8,0.44,0.2,0.04
Dureza,LEVANTE VR,200541.0,2.9,146,1.65,2.5,2.99,3.13,5.4,0.53,0.28,0.04
