Tipo,Producto,Medio,Cantidad,Mínimo,Quantil25,Mediana,Quantil75,Máximo,Desviación Estandar,Varianza,Error Estandar
Porcentaje Durabilidad,ENGORDE,89.19,29,78.0,87.7,89.8,91.1,94.4,3.06,9.34,0.56
Porcentaje Durabilidad,FINALIZADOR,89.52,89,72.4,88.0,90.6,92.0,99.8,4.43,19.65,0.46
Porcentaje Durabilidad,LEVANTE,86.21,229,0.0,87.9,90.7,92.0,98.3,17.93,321.39,1.12
Dureza,ENGORDE,2.7,30,2.01,2.45,2.82,3.0,3.4,0.38,0.14,0.07
Dureza,FINALIZADOR,2.87,91,1.5,2.5,2.9,3.28,3.96,0.51,0.26,0.05
Dureza,LEVANTE,2.88,223,1.6,2.54,3.0,3.16,5.4,0.5,0.25,0.03
